Country,ISO2,ISO3,Indicator,Source,Model,Scenario,Damage,Percentile,Damage_Reference,Percentile_Reference,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Divergent Net Zero,High,5,High,95,0,-0.186490626,-0.415270523,-0.67887698,-0.943405765,-1.188583639,-1.372218458,-1.515137358,-1.613080395,-1.666443328,-1.708151183,-1.728695674,-1.735408645,-1.708566933,-1.663788619,-1.615222617,-1.582757929,-1.576973237,-1.568799202,-1.553913927,-1.544012097,-1.506131813,-1.457016876,-1.417924728,-1.353239028,-1.268361528,-1.186427473,-1.110849456,-1.033938847,-0.982367818,-0.961116048,-0.921864785,-0.880247557,-0.83089177,-0.784868294,-0.734614633,-0.671488756,-0.598337934,-0.494920863,-0.371679906,-0.230504239,-0.068564937,0.087005896,0.253160556,0.425036053,0.598657129,0.770142443,0.956127945,1.136754526,1.303376981,1.462591786,1.626056593,1.772401323,1.932033509,2.081216115,2.21701379,2.345522622,2.485590399,2.642470795,2.794472292,2.943369163,3.093426614,3.225293873,3.357244466,3.477341631,3.598267816,3.727250828,3.86603155,4.012382484,4.150764114,4.284940966,4.41705392,4.546245702,4.673705411,4.800263481,4.926592781,5.053436448,5.181477294,5.311384063,5.443768143,5.579239896
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Divergent Net Zero,High,50,High,95,0,-0.209901301,-0.471376673,-0.767125113,-1.075114579,-1.349340487,-1.552395921,-1.720246071,-1.835409589,-1.898701678,-1.951626646,-1.984081917,-2.007895079,-1.999026251,-1.964098211,-1.925060617,-1.903188962,-1.91090849,-1.909093575,-1.89467977,-1.885640812,-1.847320182,-1.797963677,-1.759805362,-1.695045201,-1.611467451,-1.530538186,-1.455587467,-1.378798104,-1.326767927,-1.307120936,-1.26915628,-1.227105839,-1.177482938,-1.131910867,-1.082099016,-1.019937364,-0.950899462,-0.849940725,-0.729000397,-0.589652449,-0.428497048,-0.273628206,-0.108111738,0.061870692,0.234572449,0.405585102,0.589022959,0.766554712,0.93281262,1.090301198,1.253507034,1.39960886,1.55876403,1.706727121,1.842120197,1.97020313,2.109752781,2.264873307,2.415532371,2.563984718,2.710376653,2.839715273,2.971320012,3.091455517,3.204890635,3.328846034,3.465955289,3.611687157,3.742687143,3.869752432,3.997232109,4.121525161,4.243871587,4.365058748,4.485850402,4.606897598,4.728966901,4.852761054,4.978836074,5.107830426
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Divergent Net Zero,Median,5,High,95,0,-0.154372537,-0.347573237,-0.570783463,-0.799386055,-1.016322288,-1.183358523,-1.316823841,-1.406207018,-1.454125308,-1.488877485,-1.503276173,-1.50221894,-1.468754316,-1.420234253,-1.370176733,-1.33370119,-1.323293911,-1.304553384,-1.282096464,-1.256113719,-1.201496203,-1.140417229,-1.088858211,-1.013202126,-0.921515351,-0.836494106,-0.757614381,-0.67717963,-0.621259968,-0.591085204,-0.539046122,-0.484768529,-0.424940509,-0.368889574,-0.310389258,-0.239616901,-0.161173015,-0.053727041,0.0726295,0.225709203,0.39773073,0.562802711,0.738149024,0.922926146,1.107400167,1.28536742,1.475253012,1.662645271,1.836526533,2.007137133,2.181922291,2.337578058,2.505272941,2.664878623,2.810169684,2.947177257,3.0934327,3.256545689,3.415598368,3.571579354,3.726477629,3.862454564,3.999646167,4.125681076,4.250920881,4.385525782,4.530766859,4.682502518,4.825059531,4.961832423,5.096470939,5.228113121,5.357899883,5.486660815,5.615113259,5.743954985,5.873913694,6.00570152,6.139885914,6.277120307
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Divergent Net Zero,Median,50,High,95,0,-0.164762996,-0.373638932,-0.612868776,-0.862318291,-1.093791778,-1.271734459,-1.417976688,-1.516020802,-1.568921684,-1.608907636,-1.629309505,-1.636258602,-1.611877778,-1.567971876,-1.522280759,-1.491703915,-1.487614207,-1.472135077,-1.450898001,-1.425591502,-1.370201242,-1.308941124,-1.255270873,-1.176059245,-1.083925471,-1.000676576,-0.92326666,-0.844737462,-0.791883821,-0.762999093,-0.707550789,-0.650321412,-0.590087164,-0.532446857,-0.473782711,-0.402576547,-0.325900795,-0.222493159,-0.099059146,0.053361903,0.224154602,0.387589917,0.563339849,0.752391803,0.939830081,1.117578462,1.305429342,1.492699199,1.668244123,1.842448027,2.02084078,2.177818288,2.346415041,2.509047516,2.656432666,2.794269315,2.941070589,3.106338744,3.270676163,3.430439149,3.584192882,3.718507304,3.855490218,3.980567588,4.101072459,4.230238121,4.373931868,4.525055334,4.664120341,4.797444498,4.929872751,5.059197017,5.186496843,5.312678314,5.438441359,5.564554264,5.691636211,5.820509945,5.951676769,6.085809624
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Divergent Net Zero,Median,95,High,95,0,-0.179887016,-0.41293851,-0.659562464,-0.911617431,-1.15942869,-1.358246787,-1.526699807,-1.640306088,-1.719083733,-1.784742531,-1.809009356,-1.811143437,-1.782430787,-1.746262567,-1.713985269,-1.686147078,-1.678779367,-1.668486945,-1.656749125,-1.641136588,-1.596810772,-1.539415963,-1.49207575,-1.427127126,-1.345493867,-1.274423373,-1.212409597,-1.142236474,-1.084032839,-1.047967163,-0.993839911,-0.944999485,-0.895709402,-0.847383194,-0.792115719,-0.717339151,-0.630330813,-0.51788654,-0.391172637,-0.247492367,-0.082832395,0.08653884,0.27133281,0.45915592,0.643838799,0.824613613,1.017312109,1.204559414,1.371743625,1.529290572,1.691565067,1.839479188,1.999757753,2.156171395,2.301117984,2.434307879,2.573983685,2.73021924,2.880592542,3.027593685,3.176654746,3.303962118,3.428010998,3.542840721,3.662810962,3.793469889,3.931804225,4.075836414,4.211505834,4.343813459,4.474960377,4.602628222,4.728446456,4.853077177,4.977344663,5.101914784,5.227482735,5.354770818,5.484397419,5.61697801
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),High,5,High,95,0,0.00372841,0.018116175,0.02948005,0.036999355,0.043655873,0.069308968,0.084791292,0.104797973,0.132856322,0.126371136,0.092344639,0.043078505,0.016261803,0.01005544,0.015076811,0.023163689,0.019692427,0.045995631,0.085394781,0.12982604,0.203764055,0.276049939,0.337780117,0.421507587,0.511999149,0.598257304,0.684944255,0.774375951,0.834598892,0.869832961,0.931686551,0.998315693,1.060108448,1.118551721,1.183691555,1.264304855,1.330974866,1.41094936,1.490188081,1.582909943,1.671388677,1.731844358,1.796353566,1.866324212,1.9425551,2.021076982,2.10891032,2.206261974,2.306639099,2.401701001,2.510480758,2.605889519,2.717296993,2.816973462,2.902899949,2.983274293,3.070171309,3.176570344,3.285660654,3.398534301,3.508564528,3.607486091,3.716991476,3.816058244,3.893802203,3.983254905,4.095941846,4.21966209,4.317887741,4.413209053,4.515532376,4.618644931,4.722226922,4.82633149,4.9308779,5.035836033,5.141227983,5.247080235,5.353291185,5.459897866
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),High,50,High,95,0,-0.026648197,-0.035508622,-0.024227857,-0.017877466,-0.012805869,0.002865431,0.005329981,0.016482015,0.020146965,-0.00592301,-0.039110671,-0.080499234,-0.102370991,-0.123372517,-0.13216065,-0.123727998,-0.115832339,-0.087959773,-0.054941828,-0.018622953,0.032686601,0.087424478,0.128397449,0.184088362,0.25865931,0.320984111,0.381234923,0.454913925,0.519043277,0.563638074,0.625370235,0.675616317,0.722339057,0.767080702,0.815874089,0.886632918,0.965402901,1.058387599,1.147990064,1.22869377,1.30773756,1.375547206,1.448973827,1.513102354,1.58065249,1.655187983,1.749014534,1.847280336,1.926211808,1.996545221,2.074574464,2.149323469,2.2463136,2.342065087,2.428352534,2.495291691,2.565509892,2.658071735,2.747841855,2.840600281,2.943330983,3.021902594,3.09588145,3.166398662,3.250527203,3.350357315,3.450761899,3.554922794,3.649872644,3.746271883,3.846469182,3.946313472,4.046675773,4.147478971,4.248740465,4.350390297,4.452454576,4.554962306,4.657856259,4.761087737
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Median,5,High,95,0,0.029838968,0.074946054,0.119106178,0.159308332,0.191410007,0.233306438,0.264948898,0.301252288,0.341103622,0.352322238,0.340659174,0.316835457,0.314362209,0.328928922,0.35630893,0.390110423,0.414841402,0.460047938,0.513272337,0.571519713,0.651359613,0.729028306,0.797806907,0.889268954,0.993993153,1.096299334,1.197033958,1.299970849,1.374842084,1.420486133,1.487306903,1.555636674,1.624851693,1.688714178,1.75797363,1.841717526,1.923482987,2.019153515,2.116314029,2.222430768,2.321335596,2.390193421,2.460035857,2.542092542,2.626762181,2.70910049,2.808077313,2.914990396,3.018240294,3.129456169,3.251635022,3.35401125,3.468727471,3.580551634,3.675671074,3.758463746,3.850812515,3.967565372,4.092821617,4.218814882,4.339737554,4.445641545,4.558578333,4.660691863,4.753524923,4.853767894,4.972404393,5.100454987,5.213959953,5.322414587,5.4352893,5.548771342,5.662748513,5.777249089,5.89226228,6.007696542,6.123564074,6.239929615,6.356689192,6.473882521
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Median,50,High,95,0,0.016853816,0.049569623,0.092743559,0.132531021,0.163600166,0.200860276,0.225579237,0.257272323,0.285797619,0.285854038,0.273674102,0.253508069,0.25313554,0.26134476,0.280924876,0.314028062,0.343595688,0.388488998,0.437817689,0.486157087,0.551103129,0.618989567,0.674022539,0.748906844,0.844299895,0.935397232,1.022318145,1.116679512,1.193263628,1.243362732,1.308903737,1.368878481,1.42890358,1.485448495,1.54640753,1.625637641,1.711476841,1.813586129,1.915629078,2.012682186,2.10401044,2.177215798,2.251515836,2.323725396,2.397516548,2.477391928,2.578197876,2.682569619,2.773933686,2.859997918,2.953858365,3.039506326,3.144489646,3.247506472,3.337835537,3.41363616,3.49618707,3.599383188,3.700736458,3.804051862,3.916208217,4.010204991,4.10235021,4.187270531,4.279707023,4.383840567,4.493518549,4.608238637,4.716712027,4.825079492,4.936431735,5.047670541,5.159469309,5.271701392,5.384475638,5.497637398,5.611268411,5.725369607,5.839860904,5.954803855
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Median,95,High,95,0,0.019343318,0.049006724,0.074468187,0.101776002,0.123979618,0.14829146,0.16430569,0.181574426,0.196004144,0.195387963,0.181208751,0.156829581,0.144201051,0.140969538,0.149813878,0.165158987,0.185034499,0.214585196,0.242087428,0.272572311,0.317727824,0.362954549,0.400227579,0.453944209,0.518980955,0.583413634,0.650146756,0.718310365,0.767689123,0.801642785,0.849505996,0.897893404,0.952751908,0.999205094,1.045003892,1.09861002,1.155724984,1.228909503,1.308995861,1.391588,1.467790032,1.528207859,1.583290481,1.640483189,1.704324476,1.770788614,1.849504509,1.928968492,2.005727851,2.082430499,2.161421008,2.230796233,2.316425371,2.393740544,2.458487033,2.518104569,2.588660515,2.678051886,2.771265264,2.866626514,2.965866438,3.052275831,3.14206484,3.224992422,3.30293403,3.383813802,3.473502973,3.570289406,3.663775642,3.753761298,3.844501487,3.935990564,4.027331193,4.119061678,4.211156397,4.303588191,4.396288691,4.489364639,4.582700635,4.676356586
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Net Zero 2050,High,5,High,95,0,-0.112097744,-0.245205934,-0.403842798,-0.56482348,-0.716877118,-0.826526138,-0.914314715,-0.975025349,-1.007771873,-1.04364249,-1.070765266,-1.090491661,-1.075924008,-1.035226915,-0.975603239,-0.912988332,-0.863494328,-0.8043738,-0.739094092,-0.685752372,-0.616388464,-0.544388501,-0.486253016,-0.402551119,-0.294731978,-0.181650436,-0.070080544,0.04408576,0.131928097,0.184743284,0.250761954,0.314368718,0.383223971,0.447568303,0.515979326,0.59864637,0.688557853,0.803377289,0.929199764,1.060662003,1.197384525,1.316497959,1.438702554,1.564249659,1.692772345,1.823294003,1.972311658,2.119305613,2.255180335,2.385661819,2.522016466,2.642171742,2.776461079,2.900148531,3.010839339,3.114154074,3.229622606,3.363288963,3.494145229,3.625235078,3.761415501,3.881314104,4.003143351,4.11385062,4.225093593,4.343593653,4.471855716,4.607947786,4.73670358,4.863379793,4.990590201,5.116551649,5.241923867,5.367163615,5.492630264,5.618634737,5.745490922,5.873557369,6.003188886,6.134619838
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Net Zero 2050,High,50,High,95,0,-0.135438292,-0.301518864,-0.492587914,-0.697843382,-0.880017979,-1.008804199,-1.121026669,-1.199888626,-1.242551176,-1.289697164,-1.329984113,-1.368606093,-1.37167331,-1.340177479,-1.292979645,-1.241988047,-1.206346906,-1.154013898,-1.090161527,-1.039677582,-0.969438906,-0.897032333,-0.839751782,-0.755899674,-0.648227494,-0.537980523,-0.428494782,-0.314670096,-0.22752474,-0.1761126,-0.111645852,-0.047560481,0.021381595,0.084583324,0.152315931,0.234218503,0.321066316,0.433608828,0.555577522,0.684457164,0.820953553,0.939917224,1.061496617,1.185486644,1.313477358,1.443644533,1.591603226,1.736957941,1.872670189,2.001205662,2.137333494,2.257285205,2.391312197,2.51422081,2.624482152,2.72756827,2.84276352,2.974798187,3.104873043,3.23537601,3.368338055,3.486149439,3.607653071,3.718266579,3.821535946,3.934879304,4.061928257,4.197557436,4.319182159,4.438094769,4.559055919,4.67845299,4.79708999,4.915423542,5.033765401,5.152466352,5.271874715,5.39242155,5.514357242,5.637981193
