Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Sector,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Electricity, gas, water supply, sewerage, waste and remediation services",Units,433.201198,460.8828236,390.2797719,580.6099569,490.4195203,397.5851611,470.0574044,635.3785642,590.6652976,486.5077083,444.1347921,332.28787,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Fabricated metal products,Units,109.2522197,193.4716398,258.5742456,153.8429441,136.7987333,151.6254271,208.761048,186.6728425,159.2547371,137.8425156,144.0741752,169.6698988,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Financial and insurance activities,Units,116.5074223,128.2148662,151.626003,184.351289,121.63739,108.1168002,100.7205352,75.66533441,86.13672851,78.36859242,86.35344438,90.59068622,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Food products, beverages and tobacco",Units,1838.256568,1963.029661,1941.359081,2142.028749,2149.080506,2269.086896,2530.361986,2585.2328,2687.128993,2270.647694,2423.793392,2463.484467,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Human health and social work,Units,17.40294759,21.20304214,17.35352458,18.69959657,19.47350174,20.44437694,21.55525987,23.80406315,23.82280693,20.76238159,22.66419979,6.250175817,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",IT and other information services,Units,100.7745191,117.0858982,131.8780511,114.3891845,118.3981971,106.5269357,91.79553057,131.4605513,120.308015,100.1831193,111.3963972,67.46071937,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Machinery and equipment, nec",Units,1213.276762,1463.877953,1216.057285,935.8127567,662.7653753,791.0875468,1170.483632,1004.769061,874.1423402,836.7395183,852.5211529,687.3953922,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Mining and quarrying,Units,66.19955146,290.4417236,63.32325149,160.1856984,361.3265814,305.4332594,120.2226768,176.5954683,300.809806,287.3926947,279.6997803,305.1655102,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Motor vehicles, trailers and semi-trailers",Units,58.75219563,14.44384837,158.4965587,11.0217888,71.61578112,12.9799283,0,0,0,27.18797201,62.74326511,84.59246645,,
"Netherlands, The",NL,NLD,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Other business sector services,Units,288.0996707,342.9876608,286.6287969,343.3147276,355.6442415,263.9862728,338.8468633,487.592127,257.4950879,228.6313941,249.4605113,205.8825037,,
