Country,Time,Balance,Product,Value,Unit
Belgium,June 2023,Net Electricity Production,Nuclear,2263.119,GWh
Belgium,June 2023,Net Electricity Production,Total Combustible Fuels,1954.4787,GWh
Belgium,June 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",202.6343,GWh
Belgium,June 2023,Net Electricity Production,Oil and Petroleum Products,4.5659,GWh
Belgium,June 2023,Net Electricity Production,Natural Gas,1449.2579,GWh
Belgium,June 2023,Net Electricity Production,Combustible Renewables,217.8633,GWh
Belgium,June 2023,Net Electricity Production,Other Combustible Non-Renewables,80.1573,GWh
Belgium,June 2023,Net Electricity Production,Hydro,107.0362,GWh
Belgium,June 2023,Net Electricity Production,Wind,701.6899,GWh
Belgium,June 2023,Net Electricity Production,Solar,1215.9054,GWh
Belgium,June 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2242.4949,GWh
Luxembourg,June 2023,Net Electricity Production,Total Combustible Fuels,24.248,GWh
Luxembourg,June 2023,Net Electricity Production,Natural Gas,3.8539,GWh
Luxembourg,June 2023,Net Electricity Production,Combustible Renewables,14.1292,GWh
Luxembourg,June 2023,Net Electricity Production,Other Combustible Non-Renewables,6.2649,GWh
Luxembourg,June 2023,Net Electricity Production,Hydro,91.0652,GWh
Luxembourg,June 2023,Net Electricity Production,Wind,28.4001,GWh
Luxembourg,June 2023,Net Electricity Production,Solar,29.575,GWh
Luxembourg,June 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",163.1695,GWh
Netherlands,June 2023,Net Electricity Production,Nuclear,341.365,GWh
Netherlands,June 2023,Net Electricity Production,Total Combustible Fuels,4612.7241,GWh
Netherlands,June 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",193.728,GWh
Netherlands,June 2023,Net Electricity Production,Oil and Petroleum Products,98.2154,GWh
Netherlands,June 2023,Net Electricity Production,Natural Gas,3956.3461,GWh
Netherlands,June 2023,Net Electricity Production,Combustible Renewables,263.462,GWh
Netherlands,June 2023,Net Electricity Production,Other Combustible Non-Renewables,100.9725,GWh
Netherlands,June 2023,Net Electricity Production,Hydro,2.0666,GWh
Netherlands,June 2023,Net Electricity Production,Wind,1521.7817,GWh
Netherlands,June 2023,Net Electricity Production,Solar,3592.8566,GWh
Netherlands,June 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5380.1669,GWh
Belgium,May 2023,Net Electricity Production,Nuclear,2153.5882,GWh
Belgium,May 2023,Net Electricity Production,Total Combustible Fuels,1647.8895,GWh
Belgium,May 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",198.0204,GWh
Belgium,May 2023,Net Electricity Production,Oil and Petroleum Products,6.8239,GWh
Belgium,May 2023,Net Electricity Production,Natural Gas,1129.0539,GWh
Belgium,May 2023,Net Electricity Production,Combustible Renewables,224.9539,GWh
Belgium,May 2023,Net Electricity Production,Other Combustible Non-Renewables,89.0374,GWh
Belgium,May 2023,Net Electricity Production,Hydro,132.6749,GWh
Belgium,May 2023,Net Electricity Production,Wind,779.1364,GWh
Belgium,May 2023,Net Electricity Production,Solar,1076.5222,GWh
Belgium,May 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2213.2874,GWh
Luxembourg,May 2023,Net Electricity Production,Total Combustible Fuels,28.563,GWh
Luxembourg,May 2023,Net Electricity Production,Natural Gas,5.8416,GWh
Luxembourg,May 2023,Net Electricity Production,Combustible Renewables,18.5279,GWh
Luxembourg,May 2023,Net Electricity Production,Other Combustible Non-Renewables,4.1935,GWh
Luxembourg,May 2023,Net Electricity Production,Hydro,104.9972,GWh
Luxembourg,May 2023,Net Electricity Production,Wind,27.8299,GWh
Luxembourg,May 2023,Net Electricity Production,Solar,30.1448,GWh
Luxembourg,May 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",181.4999,GWh
Netherlands,May 2023,Net Electricity Production,Nuclear,347.489,GWh
Netherlands,May 2023,Net Electricity Production,Total Combustible Fuels,4655.2714,GWh
Netherlands,May 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",514.6151,GWh
Netherlands,May 2023,Net Electricity Production,Oil and Petroleum Products,132.1737,GWh
Netherlands,May 2023,Net Electricity Production,Natural Gas,3283.5633,GWh
Netherlands,May 2023,Net Electricity Production,Combustible Renewables,622.0476,GWh
Netherlands,May 2023,Net Electricity Production,Other Combustible Non-Renewables,102.8718,GWh
Netherlands,May 2023,Net Electricity Production,Hydro,10.6671,GWh
Netherlands,May 2023,Net Electricity Production,Wind,1558.8892,GWh
Netherlands,May 2023,Net Electricity Production,Solar,3051.681,GWh
Netherlands,May 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5243.2849,GWh
Belgium,April 2023,Net Electricity Production,Nuclear,2354.969,GWh
Belgium,April 2023,Net Electricity Production,Total Combustible Fuels,1860.0235,GWh
Belgium,April 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",201.5227,GWh
Belgium,April 2023,Net Electricity Production,Oil and Petroleum Products,5.9727,GWh
Belgium,April 2023,Net Electricity Production,Natural Gas,1348.2003,GWh
Belgium,April 2023,Net Electricity Production,Combustible Renewables,226.5152,GWh
Belgium,April 2023,Net Electricity Production,Other Combustible Non-Renewables,77.8125,GWh
Belgium,April 2023,Net Electricity Production,Hydro,172.4302,GWh
Belgium,April 2023,Net Electricity Production,Wind,977.3784,GWh
Belgium,April 2023,Net Electricity Production,Solar,804.112,GWh
Belgium,April 2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2180.4358,GWh
Luxembourg,April 2023,Net Electricity Production,Total Combustible Fuels,28.5204,GWh
