Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Construction,Units,1.778,2.057,1.986,2.032,2.006,2.079,2.122,2.128,2.134,2.169,2.341,2.475,2.638,2.808,2.677,2.603,2.666,2.467,2.514,2.424,2.415,2.156,2.354,2.343
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Education,Units,0.618,0.669,0.585,0.563,0.522,0.489,0.51,0.508,0.548,0.592,0.558,0.559,0.519,0.563,0.573,0.652,0.536,0.574,0.566,0.457,0.481,0.511,0.517,0.494
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Electrical equipment,Units,0.257,0.294,0.297,0.298,0.294,0.284,0.277,0.289,0.289,0.289,0.302,0.262,0.253,0.224,0.255,0.263,0.267,0.246,0.214,0.188,0.176,0.168,0.202,0.177
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Electricity, gas, steam and air conditioning supply",Units,51.342,52.011,52.88,55.002,51.319,52.602,55.973,57.106,57.977,59.058,56.293,51.858,55.435,54.446,54.333,56.768,52.624,49.999,50.108,53.523,57.89,56.659,53.556,49.331
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fabricated metal products,Units,0.374,0.367,0.34,0.34,0.331,0.32,0.308,0.308,0.273,0.255,0.265,0.256,0.253,0.264,0.261,0.28,0.233,0.235,0.217,0.192,0.189,0.235,0.246,0.231
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Financial and insurance activities,Units,1.084,1.241,1.101,1.046,0.996,0.976,1.012,0.949,1.016,1.108,1.043,1.018,0.887,0.91,0.999,1.225,0.992,1.098,1.065,0.845,0.89,0.945,0.925,0.894
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fishing and aquaculture,Units,1.341,1.302,1.337,1.34,1.374,1.337,1.313,1.099,1.007,0.957,0.942,0.897,0.794,0.734,0.687,0.698,0.598,0.487,0.55,0.546,0.604,0.591,0.508,0.492
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Food products, beverages and tobacco",Units,3.885,4.107,3.904,3.965,4.253,3.905,3.718,3.837,3.662,3.582,3.499,3.437,3.447,3.254,2.807,2.971,3.209,3.108,2.992,3.213,3.058,3.109,3.18,3.213
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Human health and social work activities,Units,0.773,0.872,0.753,0.731,0.673,0.669,0.745,0.764,0.852,0.932,0.853,0.855,0.768,0.849,0.927,1.058,0.859,0.977,0.99,0.774,0.818,0.834,0.818,0.801
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",IT and other information services,Units,0.144,0.205,0.225,0.249,0.252,0.286,0.3,0.262,0.269,0.3,0.298,0.319,0.324,0.361,0.341,0.383,0.323,0.346,0.354,0.303,0.38,0.45,0.484,0.494
"Netherlands, The",NL,NLD,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Land transport and transport via pipelines,Units,6.542,7.075,7.254,8.088,7.621,7.202,6.859,6.76,6.607,7.108,7.093,7.23,7.289,8.104,6.979,7.08,7.088,6.69,6.664,6.567,6.41,5.922,5.387,5.013
